48,52,55,67,52,64,55,60,57,52,55,57,48,50,69,79,52,43,67,48,52,55,50,55,45,69,67,52,55,57,57,52,48,45,64,62,48,52,57,36,45,52,72,60,52,67,55,76,43,52,57,45,55,52,36,62,52,74,64,45,50,60,69,57,57,69,60,57,52,45,67,55,67,74,60,38,62,67,50,43,45,57,43,45,45,64,60,74,52,45,55,81,62,60,48,72,43,52,48,45,50,64,55,55,62,55,62,52,76,57,45,40,72,60,60,52,50,69,52,48,69,40,69,55,57,60,45,38,48,48,55,67,60,48,48,48,62,67,55,48,45,52,43,55,48,57,52,45,45,50,76,72,57,50,64,60,64,43,74,55,52,62,50,45,64,64,50,50,55,57,57,64,48,55,50,55,52,60,57,76,64,55,52,62,76,62,48,50,55,60,76,62,48,50,60,45,57,62
45,52,52,69,45,57,52,43,55,52,55,52,52,45,69,69,45,45,67,52,50,57,48,50,40,55,62,55,48,60,64,48,45,45,52,52,55,52,55,40,40,57,69,52,52,55,62,64,45,45,62,45,57,64,52,57,48,64,60,52,50,62,64,52,60,69,60,55,55,52,57,64,64,69,43,40,67,64,48,50,45,69,40,50,50,64,55,64,52,43,52,69,64,52,45,62,52,48,45,43,45,64,50,50,62,57,62,50,69,57,45,45,57,62,60,52,52,67,52,48,72,45,62,43,57,64,50,52,50,45,50,60,55,50,52,43,57,72,52,48,48,55,40,57,50,57,48,45,48,52,69,67,55,52,57,67,67,50,69,45,52,52,48,43,69,69,52,52,57,57,60,57,48,52,43,57,55,57,57,62,60,52,52,55,74,57,50,55,52,52,72,57,48,48,62,45,55,67
48,55,52,64,45,72,55,50,57,55,57,60,40,50,81,69,52,50,62,52,52,55,50,48,52,57,76,52,52,55,60,57,48,45,64,57,55,52,55,52,48,57,62,57,45,64,57,74,50,36,72,45,57,57,52,62,52,69,64,50,50,57,60,57,67,55,60,57,52,45,76,69,62,72,48,43,67,67,55,50,57,55,50,36,50,64,57,62,50,45,62,60,62,57,45,64,52,55,48,43,43,64,52,57,64,60,60,62,74,50,55,43,64,52,64,55,57,69,52,48,69,55,60,52,55,64,52,48,55,50,52,57,55,50,55,45,62,57,55,50,48,60,48,52,55,52,50,57,52,57,69,72,57,55,64,62,57,48,81,45,52,50,52,45,74,74,62,52,52,64,57,62,48,48,50,62,62,62,52,74,64,55,57,57,79,57,60,52,52,50,67,50,45,55,64,48,62,60
57,48,57,69,48,60,72,62,62,67,64,57,57,57,64,52,55,52,64,57,55,55,60,43,64,62,62,55,52,62,64,62,55,52,45,64,43,64,64,57,48,64,52,62,55,55,57,64,64,69,76,45,60,57,62,60,62,81,64,48,55,81,69,69,57,60,52,69,64,52,72,67,67,74,60,52,67,79,55,60,67,64,48,72,55,67,64,74,67,62,57,45,67,55,52,79,52,50,55,45,52,67,50,57,64,60,69,72,74,57,57,52,69,55,62,60,67,76,52,55,81,55,81,57,69,60,57,64,52,48,67,57,52,60,55,45,69,67,60,52,45,62,52,55,57,52,57,50,50,64,81,69,64,55,76,81,74,57,69,48,55,64,55,48,67,60,67,50,52,67,76,67,52,60,55,55,60,62,62,74,67,57,60,67,76,60,60,52,62,67,81,48,50,60,67,52,45,67
50,62,50,60,45,72,62,62,57,52,55,55,43,57,62,60,57,45,52,52,52,67,50,43,36,52,57,62,43,55,67,62,52,38,57,57,38,55,64,43,38,67,62,57,48,67,52,74,43,55,55,48,57,52,36,67,48,72,64,43,55,57,57,64,60,64,52,64,52,52,72,64,62,64,50,45,67,81,57,55,52,60,40,57,43,76,64,69,52,52,52,57,55,62,52,74,52,55,38,40,43,64,50,50,60,62,60,60,60,55,45,50,57,60,67,52,57,79,62,48,69,36,64,52,52,60,52,50,52,45,55,60,50,50,57,50,60,60,57,50,45,52,52,62,57,57,45,52,52,55,74,76,60,52,69,74,74,45,64,76,45,57,52,45,69,60,57,48,60,74,60,64,45,55,55,60,64,57,52,74,64,57,60,60,67,52,57,52,50,62,76,69,48,52,57,43,69,79
43,57,50,48,43,60,45,57,57,55,52,48,43,48,57,64,57,48,45,52,55,57,50,45,48,48,55,43,38,52,60,55,48,43,60,52,43,52,62,40,38,57,62,48,52,57,57,67,43,45,62,43,52,50,45,57,50,64,62,45,48,55,45,57,57,52,48,57,48,52,64,64,62,57,48,45,55,64,52,48,57,69,36,45,45,67,55,62,52,52,50,62,52,50,40,64,45,50,48,36,48,64,50,50,60,55,57,60,50,55,50,43,55,52,50,48,55,76,55,45,60,43,57,48,50,48,62,50,40,40,50,50,55,45,62,45,57,57,57,48,40,52,48,67,57,60,45,45,50,43,72,69,62,48,60,62,64,45,57,50,43,57,50,38,69,55,57,40,50,67,60,55,45,55,45,57,55,48,64,64,64,60,52,57,64,43,48,55,50,60,67,64,45,55,52,43,64,72
45,62,50,52,48,69,52,57,57,48,52,50,40,48,64,76,52,45,55,48,52,57,48,43,55,60,72,43,45,57,60,64,48,43,67,57,40,50,62,36,43,60,69,67,48,69,57,72,36,50,57,45,55,52,43,64,50,74,67,48,50,55,55,55,62,64,50,62,45,50,74,67,62,67,45,43,62,67,52,50,52,64,38,45,45,69,60,67,52,43,57,64,57,57,43,69,45,48,48,38,48,62,50,52,60,57,57,60,60,60,48,50,60,50,60,52,48,74,60,50,69,40,57,40,55,50,55,36,48,45,55,57,48,48,55,45,57,64,52,45,38,52,50,60,57,55,50,48,52,52,72,76,57,55,67,57,57,40,72,57,45,57,52,40,69,60,52,40,55,69,62,67,45,55,52,57,57,52,62,76,62,57,50,60,69,45,55,55,52,55,69,52,45,50,50,45,67,55
48,55,50,45,48,62,60,57,57,50,52,52,40,52,69,69,50,48,45,50,50,60,48,45,52,52,62,55,45,55,62,64,48,43,57,55,43,52,62,38,43,62,72,50,52,64,60,60,38,48,60,48,55,60,48,62,50,64,64,52,52,50,50,57,64,81,52,67,48,50,72,69,62,62,52,43,64,74,52,52,50,79,36,50,50,64,62,52,52,40,57,69,52,52,43,64,52,52,45,40,43,64,50,50,62,64,57,55,52,57,50,48,57,57,57,55,50,79,55,52,64,43,55,48,52,55,50,45,50,43,52,52,55,50,57,45,57,64,57,52,40,52,45,57,57,57,50,45,55,55,74,67,60,55,64,62,64,45,64,45,43,52,52,40,72,55,52,43,55,69,57,57,45,55,48,60,57,52,64,64,64,57,52,57,67,48,52,57,50,62,69,74,45,50,52,45,57,64
48,60,48,50,45,62,57,64,62,50,55,45,36,55,62,64,55,50,52,50,52,62,48,45,52,64,50,43,52,57,57,60,45,43,64,52,40,55,62,38,45,62,57,55,45,67,57,69,36,43,57,45,52,57,43,69,48,69,60,52,50,52,57,57,60,60,45,67,45,52,67,64,62,57,50,45,57,69,52,50,55,57,36,48,48,60,62,57,50,50,55,52,52,64,40,62,52,52,45,38,45,62,52,45,60,60,57,60,57,60,45,48,55,62,55,52,55,81,55,55,67,40,52,48,52,50,60,40,48,45,55,64,52,45,60,50,57,64,55,45,43,52,48,57,55,55,48,48,52,52,72,60,64,57,57,64,62,40,64,45,43,52,50,36,67,55,55,45,62,74,57,57,50,55,50,57,62,55,57,74,64,60,52,52,64,48,60,57,48,64,67,57,48,55,45,48,69,60
48,55,48,52,50,69,52,64,52,48,52,50,43,52,62,72,55,48,52,45,50,62,48,45,45,57,64,45,52,45,52,60,45,45,64,50,43,50,64,43,38,57,67,57,48,67,52,69,40,43,57,48,50,57,48,62,48,69,60,45,48,52,52,57,57,64,50,64,48,45,72,67,60,67,57,40,60,69,57,55,50,64,43,45,43,60,57,62,48,48,60,67,52,67,48,60,45,50,40,45,45,60,52,48,50,60,55,52,57,57,45,50,57,67,57,52,52,74,50,48,67,45,55,52,50,52,45,45,50,45,50,60,50,48,50,45,52,40,60,55,48,50,48,55,55,55,48,48,52,57,69,64,52,60,62,60,60,40,62,43,40,52,52,45,64,52,55,52,64,64,60,57,48,50,52,55,62,60,50,74,64,52,52,52,67,52,57,52,48,64,69,55,45,50,48,40,62,57
52,52,55,57,52,60,50,62,60,60,57,48,48,52,57,52,52,52,57,55,55,60,52,52,45,57,52,48,50,52,62,60,48,48,45,55,45,55,62,60,45,60,52,60,52,52,52,64,52,60,60,45,52,64,57,72,48,62,62,48,45,64,60,55,50,64,45,62,52,50,69,69,62,64,57,48,57,72,50,62,50,62,48,64,40,64,60,60,52,45,57,52,62,55,45,57,50,52,43,48,52,64,48,45,52,60,60,48,62,45,52,50,48,60,52,50,55,76,57,45,69,52,57,55,60,48,45,57,55,43,55,50,52,52,52,45,60,38,60,50,43,52,40,52,55,52,52,50,57,55,60,64,50,52,60,67,64,52,60,43,45,52,52,48,67,50,72,45,55,69,72,60,48,50,48,50,57,52,45,74,67,57,52,57,69,55,52,40,55,67,62,52,50,50,55,40,36,60
52,60,48,55,55,64,55,67,60,55,52,52,50,57,57,62,57,45,45,45,50,64,50,52,55,48,60,48,48,45,64,62,43,52,64,52,45,50,67,48,45,62,57,62,45,69,50,69,48,48,52,50,52,64,48,64,43,69,62,50,52,55,55,55,55,57,52,64,50,50,74,60,60,64,64,48,57,74,57,64,48,50,45,50,45,64,62,57,48,60,55,57,57,57,50,57,50,52,45,52,48,60,52,50,52,62,57,55,52,57,52,55,50,60,62,55,45,74,57,52,67,50,55,52,55,55,52,62,57,52,50,48,48,57,50,48,57,45,50,60,50,43,62,57,57,52,45,57,52,52,64,67,62,60,57,69,64,43,55,62,48,48,48,50,55,55,62,52,57,64,60,60,50,52,52,52,64,57,50,67,67,55,55,52,64,52,57,60,48,64,60,69,48,55,57,45,79,69
45,55,43,48,48,57,52,62,55,48,48,45,43,45,60,57,52,45,52,43,52,50,52,45,38,52,48,55,45,43,52,60,48,43,57,52,40,48,62,38,38,60,55,52,48,60,48,62,36,60,45,48,48,60,36,64,45,69,64,43,48,52,52,52,52,57,48,57,45,48,69,60,62,57,55,43,52,69,50,55,45,67,40,60,45,57,57,57,50,45,52,60,55,55,43,55,50,48,38,40,43,57,50,50,45,57,52,52,52,52,45,48,48,52,50,52,45,74,57,40,57,38,62,50,50,45,50,40,48,40,55,52,50,45,50,45,55,52,55,50,40,48,43,52,52,57,48,50,52,48,69,57,60,57,52,60,62,45,50,52,40,57,48,40,62,52,57,45,57,60,62,52,48,50,45,52,55,50,45,69,64,55,48,52,62,43,48,52,50,62,64,50,48,52,45,43,52,57
45,50,45,36,50,48,48,52,52,48,45,48,40,43,57,57,50,45,40,45,50,43,50,36,45,38,48,45,36,50,55,55,45,40,50,50,45,50,57,43,38,55,64,43,48,52,50,52,40,40,52,45,48,62,50,52,43,52,62,50,45,43,40,45,52,62,50,55,40,45,57,62,60,48,45,43,52,64,48,52,48,72,40,43,45,62,52,43,48,43,50,57,50,40,38,52,48,45,43,40,38,57,45,48,48,52,55,50,45,50,48,45,43,48,50,45,45,72,50,45,52,45,52,43,48,40,52,50,45,43,52,45,50,48,52,38,52,55,55,48,40,48,45,52,52,55,45,48,55,40,60,52,57,50,50,57,60,43,48,38,36,50,50,38,64,52,57,40,50,62,55,48,45,48,38,50,52,45,50,57,64,52,48,52,60,40,45,52,45,55,62,60,43,50,40,43,57,57
